Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
I2,08/09/13,Empoli,Trapani,1,1,D,1,0,H,1.57,3.75,6,1.57,3.6,6,1.6,3.4,5.2,1.6,3.5,5.5,1.6,3.88,6.73,1.53,3.8,5.5,1.57,3.6,6.25,1.6,3.8,6.25,32,1.65,1.57,4.1,3.66,7,5.87,28,1.95,1.85,2.08,1.94,16,-1,2.08,2.02,1.95,1.83
I2,08/09/13,Latina,Varese,0,3,A,0,1,A,3.1,3.1,2.4,2.95,2.95,2.5,2.8,2.9,2.5,2.9,3,2.35,3.19,3.1,2.53,2.9,3.1,2.38,3,3,2.4,3.1,3.1,2.45,32,3.19,2.92,3.15,3.04,2.54,2.42,22,2.35,2.25,1.7,1.61,15,0,2.21,2.12,1.77,1.73
I2,08/09/13,Modena,Cittadella,2,0,H,1,0,H,1.91,3.3,4.2,1.85,3.3,4.2,1.8,3.1,4.2,1.8,3.25,4.33,1.95,3.36,4.55,1.85,3.3,4,1.83,3.4,4.33,1.87,3.4,4.4,33,1.95,1.86,3.5,3.3,4.7,4.15,29,2.16,2.07,1.85,1.73,12,-0.5,1.95,1.89,2.01,1.97
I2,08/09/13,Padova,Palermo,0,3,A,0,2,A,2.75,3.1,2.63,,,,2.9,2.9,2.4,2.7,2.88,2.65,2.89,3.17,2.71,2.7,3,2.6,2.75,3,2.6,2.8,3.13,2.63,32,2.9,2.75,3.17,2.98,2.86,2.59,23,2.5,2.27,1.7,1.59,15,0,2.03,1.97,1.9,1.86
I2,08/09/13,Pescara,Crotone,2,2,D,1,1,D,1.57,3.75,6,1.6,3.6,5.75,1.6,3.4,5.2,1.57,3.5,5.5,1.61,3.91,6.56,1.6,3.75,5,1.57,3.6,6,1.57,3.9,6.25,32,1.65,1.57,4.2,3.7,6.56,5.74,28,1.91,1.79,2.15,2,16,-1,2.06,2,1.9,1.86
I2,08/09/13,Reggina,Juve Stabia,3,1,H,0,0,D,2.25,3.1,3.4,2.15,2.95,3.6,2.2,2.9,3.2,2.1,3.1,3.3,2.29,3.27,3.49,2.15,3.2,3.2,2.2,3.13,3.3,2.25,3.25,3.3,32,2.3,2.2,3.27,3.09,3.55,3.26,28,2.15,2.05,1.83,1.75,13,-0.25,1.98,1.94,1.96,1.93
I2,08/09/13,Siena,Bari,3,2,H,3,1,H,1.5,3.75,7.5,1.55,3.65,6.25,1.5,3.5,6.3,1.45,3.9,6.5,1.5,4.07,8.54,1.5,3.75,6.5,1.5,3.6,7,1.5,4,7.5,32,1.53,1.49,4.3,3.77,8.54,6.81,28,2.03,1.97,1.9,1.82,16,-1,1.91,1.86,2.04,1.99
I2,13/09/13,Palermo,Cesena,2,1,H,0,0,D,1.57,3.6,6.5,1.6,3.65,5.5,1.6,3.4,5.2,1.55,3.6,6,1.58,3.94,7.26,1.6,3.5,5.5,1.53,3.6,6.5,1.57,3.9,6.25,36,1.6,1.56,3.94,3.63,7.5,6.13,32,2.05,1.98,1.91,1.82,20,-1,2.09,2.03,1.94,1.82
I2,14/09/13,Bari,Modena,1,0,H,0,0,D,2.5,3.1,2.9,2.4,2.95,3.05,2.5,3,2.7,2.4,3,2.8,2.57,3.06,3.18,2.45,3,2.88,2.5,3,2.88,2.55,3.1,3,36,2.7,2.46,3.2,3,3.18,2.9,24,2.32,2.21,1.7,1.63,16,0,1.8,1.76,2.19,2.08
I2,14/09/13,Carpi,Empoli,0,2,A,0,1,A,3.4,3.2,2.2,3.35,3.15,2.15,3.1,3,2.2,3.2,3,2.15,3.51,3.16,2.33,3.2,3.2,2.15,3.3,3.13,2.2,3.3,3.2,2.3,36,3.6,3.24,3.2,3.08,2.33,2.22,30,2.3,2.11,1.84,1.71,15,0.25,1.94,1.91,1.99,1.95
I2,14/09/13,Cittadella,Latina,0,0,D,0,0,D,2,3.2,4,1.95,3.2,3.9,2,3.1,3.5,2,3.1,3.6,2.13,3.19,4.04,2.05,3.1,3.6,2.05,3.2,3.6,2.1,3.2,3.8,36,2.13,2.04,3.3,3.15,4.1,3.64,26,2.3,2.17,1.75,1.65,15,-0.5,2.14,2.09,1.82,1.78
I2,14/09/13,Crotone,Spezia,1,0,H,1,0,H,2.4,3,3.2,2.4,2.95,3.1,2.3,3,2.9,2.3,3.1,2.9,2.55,3.09,3.18,2.3,3.1,3,2.4,2.88,3,2.5,3.1,3,36,2.6,2.4,3.3,3.02,3.2,2.96,30,2.17,2.07,1.8,1.74,16,0,1.78,1.73,2.19,2.12
I2,14/09/13,Juve Stabia,Siena,2,2,D,2,1,H,3.8,3.1,2.1,3.4,3.1,2.15,3.2,3.1,2.1,3.4,3.1,2.05,3.7,3.23,2.22,3.2,3.2,2.15,3.4,3.13,2.2,3.5,3.2,2.2,36,3.8,3.4,3.3,3.1,2.3,2.14,30,2.15,2.01,1.9,1.78,15,0.25,2.04,2,1.9,1.86
I2,14/09/13,Novara,Padova,1,0,H,0,0,D,1.73,3.5,5,1.7,3.45,5,1.7,3.2,4.7,1.67,3.4,4.8,1.71,3.53,6.12,1.75,3.3,4.6,1.73,3.3,5,1.7,3.5,5.5,36,1.8,1.71,3.53,3.37,6.12,4.94,30,2.23,2.1,1.8,1.72,15,-0.5,1.76,1.71,2.26,2.18
I2,14/09/13,Trapani,Reggina,4,0,H,2,0,H,2.3,3.1,3.2,2.35,2.95,3.2,2.3,3,2.9,2.2,3.1,3,2.34,3.19,3.47,2.3,3.1,3,2.3,3,3.2,2.3,3.12,3.3,36,2.35,2.26,3.25,3.08,3.47,3.15,30,2.23,2.11,1.8,1.71,15,-0.25,2,1.96,1.96,1.9
I2,14/09/13,Varese,Pescara,3,2,H,1,1,D,2.5,3.2,2.88,2.5,3.1,2.8,2.4,3,2.8,2.45,3.1,2.65,2.59,3.19,3.03,2.45,3.1,2.8,2.5,3,2.88,2.5,3.2,2.9,36,2.7,2.46,3.25,3.09,3.03,2.82,30,2.02,1.94,1.96,1.84,16,0,1.83,1.78,2.12,2.05
