round,home_team,home_score,away_score,away_team,notes
24,Hamburger,1,1,Dortmund,(G.Dörfel 46 - Cyliax 32)
24,1. FC Köln,3,1,TSV 1860,"(C.Müller 15, Krauthausen 40, Löhr 55 - Küppers 84)"
24,Meidericher,0,0,Frankfurt,
24,Stuttgart,0,1,B'schweig,(Maas 31)
24,Schalke,1,6,Werder,"(Pyka 27 - Podlich 62, 90, Lorenz 23, Danielsen 46,Hänel 79, Schütz 68 p)"
25,Hamburger,1,1,Schalke,(Pohlschmidt 5 - Pyka 56)
25,Dortmund,3,0,Bayern,"(Emmerich 48, 66, Held 83)"
25,M'gladbach,8,3,Nürnberg,"(Heynckes 12, 28, 52, Netzer 5, 38, Rupp 81, 84,Brungs 57 - Flachenecker 19, Elfert 29, Strehl 82)"
25,Karlsruher,1,0,Hannover,(H.Wild 35)
25,Tasmania,1,1,K'lautern,(Usbeck 82 - Braner 83)
25,Neunkirchen,1,2,Stuttgart,"(May 28 - Weiß 17, Reiner 54)"
25,B'schweig,1,0,Meidericher,(Krafczyk 82)
25,Frankfurt,0,0,1. FC Köln,
25,TSV 1860,3,1,Werder,"(Konietzka 29, 80, Brunnenmeier 14 - Hänel 2)"
26,K'lautern,1,0,Karlsruher,(Geisert 24)
26,Hannover,2,1,M'gladbach,"(Rodekamp 11, Siesensmeyer 63 p - Heynckes 13)"
26,Nürnberg,0,0,Dortmund,
26,Bayern,3,0,Hamburger,"(Ohlhauser 9, Werner 63, Nafziger 90)"
26,Werder,3,2,Frankfurt,"(Schütz 7, 21 p, Podlich 38 - Lechner 44, Solz 78)[62 Schütz (Werder) m/pen]"
26,1. FC Köln,3,0,B'schweig,"(Thielen 13, 28, H.Sturm 20)"
26,Meidericher,1,0,Neunkirchen,(van Haaren 26)
26,Stuttgart,2,0,Tasmania,"(Weiß 67, Waldner 87)"
26,Schalke,0,2,TSV 1860,"(Heiß 39, Konietzka 77)"
27,Bayern,1,0,Schalke,(Werner 33)
27,Hamburger,0,2,Nürnberg,"(Strehl 17, Brungs 65)"
27,Dortmund,4,0,Hannover,"(Emmerich 45 p, 84, 89, Kurrat 76)(sent off: Fuchs (Hannover, 63))"
27,M'gladbach,2,0,K'lautern,"(Milder 43 p, Rupp 90)"
27,Karlsruher,3,0,Stuttgart,"(Berking 9, H.Wild 76, 80)"
27,Tasmania,0,9,Meidericher,"(Nielke 10, 26, 50, 90, Krämer 46, 83, Sabath 12,R.Schmidt 19, Rühl 89)"
27,Neunkirchen,2,1,1. FC Köln,"(G.Kuntz 11, 17 - Cebinac 15)"
27,B'schweig,1,0,Werder,(Ulsaß 15)
27,Frankfurt,5,2,TSV 1860,"(Trimhold 21, 81, Huberts 45, 78, Sztani 35 -Küppers 22, Konietzka 76) [5 Trimhold (Frankfurt)m/pen]"
28,K'lautern,0,0,Dortmund,
28,Hannover,0,0,Hamburger,
28,Nürnberg,2,2,Bayern,"(Strehl 9 p, Brungs 83 - Brenninger 36 p,Koulmann 76)"
28,TSV 1860,1,1,B'schweig,(Grosser 16 - Maas 47)
28,Werder,5,2,Neunkirchen,"(Schütz 2, 28, 45, 47, Podlich 18 - Wingert 32,G.Kuntz 45)"
28,1. FC Köln,2,0,Tasmania,"(Krauthausen 1, Kleinholz 7, Regh 64, Löhr 84)"
28,Meidericher,8,2,Karlsruher,"(Gecks 43, 48, 58, Krämer 42, 49, 63, Rühl 14,Nolden 86 p - Cieslarczyk 16, Berking 35)"
28,Stuttgart,5,0,M'gladbach,"(Sieloff 53 p, 59, Waldner 29, Weiß 30, Lowin 42 o)"
28,Schalke,3,2,Frankfurt,"(Herrmann 44, 80, Bechmann 45 - Huberts 40, 43)[Apr 7]"
28,Hannover,1,1,B'schweig,(Siemensmeyer 31 - Krafczyk 59)[Apr 12]
28,TSV 1860,4,2,K'lautern,"(Konietzka 23, 48, Grosser 6, 88 - Rummel 70J.Neumann 82) [90 Reitgaßl (K'lautern) m/pen]"
29,Nürnberg,1,0,Schalke,(Brungs 83)
29,Bayern,3,1,Hannover,"(Ohlhauser 13, Beckenbauer 73, G.Müller 77 -Siemensmeyer 42)"
29,Hamburger,4,1,K'lautern,"(U.Seeler 14, 38, 49, Giesemann 48 p - Rummel 2)(sent off: Geisert (K'lautern, 52))"
29,Dortmund,4,0,Stuttgart,"(A.Schmidt 31, Held 55, W.Sturm 69, Emmerich 87)"
29,M'gladbach,1,2,Meidericher,"(Rupp 78 - Nielke 40, 82)"
29,Karlsruher,2,1,1. FC Köln,"(H.Wild 25, Dobat 38 - C.Müller 82)"
29,Tasmania,1,1,Werder,(Engler 31 - Podlich 45)
