Id,group_id,team_id,created_at,updated_at
69,17,183,2014-10-17T00:54:13.5490170-04:00,2014-10-17T00:54:13.5490170-04:00
70,17,179,2014-10-17T00:54:13.5507190-04:00,2014-10-17T00:54:13.5507190-04:00
71,18,125,2014-10-17T00:54:13.9465420-04:00,2014-10-17T00:54:13.9465420-04:00
72,18,154,2014-10-17T00:54:13.9486030-04:00,2014-10-17T00:54:13.9486030-04:00
73,18,155,2014-10-17T00:54:13.9509080-04:00,2014-10-17T00:54:13.9509080-04:00
74,18,171,2014-10-17T00:54:13.9531300-04:00,2014-10-17T00:54:13.9531300-04:00
75,18,172,2014-10-17T00:54:13.9589820-04:00,2014-10-17T00:54:13.9589820-04:00
76,18,159,2014-10-17T00:54:13.9610210-04:00,2014-10-17T00:54:13.9610210-04:00
77,19,134,2014-10-17T00:54:13.9664380-04:00,2014-10-17T00:54:13.9664380-04:00
78,19,142,2014-10-17T00:54:13.9685070-04:00,2014-10-17T00:54:13.9685070-04:00
79,19,148,2014-10-17T00:54:13.9744750-04:00,2014-10-17T00:54:13.9744750-04:00
80,19,141,2014-10-17T00:54:13.9768920-04:00,2014-10-17T00:54:13.9768920-04:00
81,19,168,2014-10-17T00:54:13.9788830-04:00,2014-10-17T00:54:13.9788830-04:00
82,19,136,2014-10-17T00:54:13.9808450-04:00,2014-10-17T00:54:13.9808450-04:00
83,20,127,2014-10-17T00:54:13.9865460-04:00,2014-10-17T00:54:13.9865460-04:00
84,20,174,2014-10-17T00:54:13.9884560-04:00,2014-10-17T00:54:13.9884560-04:00
85,20,133,2014-10-17T00:54:13.9903090-04:00,2014-10-17T00:54:13.9903090-04:00
86,20,57,2014-10-17T00:54:13.9921530-04:00,2014-10-17T00:54:13.9921530-04:00
87,20,124,2014-10-17T00:54:13.9939840-04:00,2014-10-17T00:54:13.9939840-04:00
88,20,147,2014-10-17T00:54:13.9958130-04:00,2014-10-17T00:54:13.9958130-04:00
89,21,137,2014-10-17T00:54:14.0012610-04:00,2014-10-17T00:54:14.0012610-04:00
90,21,146,2014-10-17T00:54:14.0032910-04:00,2014-10-17T00:54:14.0032910-04:00
91,21,149,2014-10-17T00:54:14.0052780-04:00,2014-10-17T00:54:14.0052780-04:00
92,21,157,2014-10-17T00:54:14.0075770-04:00,2014-10-17T00:54:14.0075770-04:00
93,21,128,2014-10-17T00:54:14.0098570-04:00,2014-10-17T00:54:14.0098570-04:00
94,21,150,2014-10-17T00:54:14.0125330-04:00,2014-10-17T00:54:14.0125330-04:00
95,22,153,2014-10-17T00:54:14.0181400-04:00,2014-10-17T00:54:14.0181400-04:00
96,22,161,2014-10-17T00:54:14.0200610-04:00,2014-10-17T00:54:14.0200610-04:00
97,22,140,2014-10-17T00:54:14.0219750-04:00,2014-10-17T00:54:14.0219750-04:00
98,22,160,2014-10-17T00:54:14.0239610-04:00,2014-10-17T00:54:14.0239610-04:00
99,22,151,2014-10-17T00:54:14.0258260-04:00,2014-10-17T00:54:14.0258260-04:00
100,22,126,2014-10-17T00:54:14.0277560-04:00,2014-10-17T00:54:14.0277560-04:00
101,23,156,2014-10-17T00:54:14.0333390-04:00,2014-10-17T00:54:14.0333390-04:00
102,23,138,2014-10-17T00:54:14.0352490-04:00,2014-10-17T00:54:14.0352490-04:00
103,23,176,2014-10-17T00:54:14.0371840-04:00,2014-10-17T00:54:14.0371840-04:00
104,23,169,2014-10-17T00:54:14.0391440-04:00,2014-10-17T00:54:14.0391440-04:00
105,23,133,2014-10-17T00:54:14.0410550-04:00,2014-10-17T00:54:14.0410550-04:00
106,23,135,2014-10-17T00:54:14.0429790-04:00,2014-10-17T00:54:14.0429790-04:00
107,24,162,2014-10-17T00:54:14.0484540-04:00,2014-10-17T00:54:14.0484540-04:00
108,24,132,2014-10-17T00:54:14.0502190-04:00,2014-10-17T00:54:14.0502190-04:00
109,24,139,2014-10-17T00:54:14.0518830-04:00,2014-10-17T00:54:14.0518830-04:00
110,24,144,2014-10-17T00:54:14.0537510-04:00,2014-10-17T00:54:14.0537510-04:00
111,24,143,2014-10-17T00:54:14.0557250-04:00,2014-10-17T00:54:14.0557250-04:00
112,24,163,2014-10-17T00:54:14.0576670-04:00,2014-10-17T00:54:14.0576670-04:00
113,25,170,2014-10-17T00:54:14.0631620-04:00,2014-10-17T00:54:14.0631620-04:00
114,25,158,2014-10-17T00:54:14.0651520-04:00,2014-10-17T00:54:14.0651520-04:00
115,25,164,2014-10-17T00:54:14.0671290-04:00,2014-10-17T00:54:14.0671290-04:00
116,25,145,2014-10-17T00:54:14.0690380-04:00,2014-10-17T00:54:14.0690380-04:00
117,25,165,2014-10-17T00:54:14.0713290-04:00,2014-10-17T00:54:14.0713290-04:00
118,25,166,2014-10-17T00:54:14.0735570-04:00,2014-10-17T00:54:14.0735570-04:00
119,26,131,2014-10-17T00:54:14.0808030-04:00,2014-10-17T00:54:14.0808030-04:00
120,26,129,2014-10-17T00:54:14.0828130-04:00,2014-10-17T00:54:14.0828130-04:00
121,26,152,2014-10-17T00:54:14.0847600-04:00,2014-10-17T00:54:14.0847600-04:00
122,26,130,2014-10-17T00:54:14.0866060-04:00,2014-10-17T00:54:14.0866060-04:00
123,26,167,2014-10-17T00:54:14.0885440-04:00,2014-10-17T00:54:14.0885440-04:00
124,27,119,2014-10-17T00:54:16.1064540-04:00,2014-10-17T00:54:16.1064540-04:00
125,27,100,2014-10-17T00:54:16.1091270-04:00,2014-10-17T00:54:16.1091270-04:00
126,27,96,2014-10-17T00:54:16.1114830-04:00,2014-10-17T00:54:16.1114830-04:00
127,28,220,2014-10-17T00:54:16.1171940-04:00,2014-10-17T00:54:16.1171940-04:00
