Id,event_id,title,title2,pos,knockout,start_at,end_at,auto,created_at,updated_at
77,5,Matchday 1,,1,False,2011-11-23,2011-11-23,False,2014-10-17T00:54:17.1406020-04:00,2014-10-17T00:54:17.1406020-04:00
78,5,Matchday 2,,2,False,2011-11-25,2011-11-25,False,2014-10-17T00:54:17.1428530-04:00,2014-10-17T00:54:17.1428530-04:00
79,5,Matchday 3,,3,False,2011-11-27,2011-11-27,False,2014-10-17T00:54:17.1448930-04:00,2014-10-17T00:54:17.1448930-04:00
80,5,Matchday 1,,4,False,2012-06-01,2012-06-01,False,2014-10-17T00:54:17.2151630-04:00,2014-10-17T00:54:17.2151630-04:00
81,5,Matchday 2,,5,False,2012-06-02,2012-06-02,False,2014-10-17T00:54:17.2171080-04:00,2014-10-17T00:54:17.2171080-04:00
82,5,Matchday 3,,6,False,2012-06-03,2012-06-03,False,2014-10-17T00:54:17.2189070-04:00,2014-10-17T00:54:17.2189070-04:00
83,5,Matchday 4,,7,False,2012-06-04,2012-06-04,False,2014-10-17T00:54:17.2206720-04:00,2014-10-17T00:54:17.2206720-04:00
84,5,Matchday 5,,8,False,2012-06-05,2012-06-05,False,2014-10-17T00:54:17.2230870-04:00,2014-10-17T00:54:17.2230870-04:00
85,5,Matchday 6,,9,False,2012-06-06,2012-06-06,False,2014-10-17T00:54:17.2250240-04:00,2014-10-17T00:54:17.2250240-04:00
86,5,Matchday,,10,False,2012-09-07,2012-09-07,False,2014-10-17T00:54:17.3111890-04:00,2014-10-17T00:54:17.3111890-04:00
87,5,Matchday,,11,False,2012-09-11,2012-09-12,False,2014-10-17T00:54:17.3134060-04:00,2014-10-17T00:54:17.3134060-04:00
88,5,Matchday,,12,False,2012-10-12,2012-10-13,False,2014-10-17T00:54:17.3154040-04:00,2014-10-17T00:54:17.3154040-04:00
89,5,Matchday,,13,False,2012-10-16,2012-10-16,False,2014-10-17T00:54:17.3172230-04:00,2014-10-17T00:54:17.3172230-04:00
90,5,Matchday,,14,False,2013-03-22,2013-03-23,False,2014-10-17T00:54:17.3191450-04:00,2014-10-17T00:54:17.3191450-04:00
91,5,Matchday,,15,False,2013-03-26,2013-03-26,False,2014-10-17T00:54:17.3213590-04:00,2014-10-17T00:54:17.3213590-04:00
92,6,Play-off 1st Leg,,1,False,2013-11-13,2013-11-13,False,2014-10-17T00:54:17.4156370-04:00,2014-10-17T00:54:17.4383360-04:00
93,6,Play-off 2nd Leg,,2,False,2013-11-20,2013-11-20,False,2014-10-17T00:54:17.4278370-04:00,2014-10-17T00:54:17.4405570-04:00
94,7,Matchday 1,,1,False,2011-10-07,2011-10-07,False,2014-10-17T00:54:17.4822820-04:00,2014-10-17T00:54:17.4822820-04:00
95,7,Matchday 2,,2,False,2011-10-11,2011-10-11,False,2014-10-17T00:54:17.4841850-04:00,2014-10-17T00:54:17.4841850-04:00
96,7,Matchday 3,,3,False,2011-11-11,2011-11-11,False,2014-10-17T00:54:17.4860040-04:00,2014-10-17T00:54:17.4860040-04:00
97,7,Matchday 4,,4,False,2011-11-15,2011-11-15,False,2014-10-17T00:54:17.4879470-04:00,2014-10-17T00:54:17.4879470-04:00
98,7,Matchday 5,,5,False,2012-06-02,2012-06-03,False,2014-10-17T00:54:17.4899020-04:00,2014-10-17T00:54:17.4899020-04:00
99,7,Matchday 6,,6,False,2012-06-09,2012-06-10,False,2014-10-17T00:54:17.4918800-04:00,2014-10-17T00:54:17.4918800-04:00
100,7,Matchday 7,,7,False,2012-09-07,2012-09-07,False,2014-10-17T00:54:17.4939780-04:00,2014-10-17T00:54:17.4939780-04:00
101,7,Matchday 8,,8,False,2012-09-11,2012-09-11,False,2014-10-17T00:54:17.4959260-04:00,2014-10-17T00:54:17.4959260-04:00
102,7,Matchday 9,,9,False,2012-10-12,2012-10-12,False,2014-10-17T00:54:17.4979140-04:00,2014-10-17T00:54:17.4979140-04:00
103,7,Matchday 10,,10,False,2012-10-16,2012-10-16,False,2014-10-17T00:54:17.4998340-04:00,2014-10-17T00:54:17.4998340-04:00
104,7,Matchday 11,,11,False,2013-03-22,2013-03-22,False,2014-10-17T00:54:17.5019500-04:00,2014-10-17T00:54:17.5019500-04:00
105,7,Matchday 12,,12,False,2013-03-26,2013-03-26,False,2014-10-17T00:54:17.5039740-04:00,2014-10-17T00:54:17.5039740-04:00
106,7,Matchday 13,,13,False,2013-06-07,2013-06-07,False,2014-10-17T00:54:17.5057710-04:00,2014-10-17T00:54:17.5057710-04:00
107,7,Matchday 14,,14,False,2013-06-11,2013-06-11,False,2014-10-17T00:54:17.5075960-04:00,2014-10-17T00:54:17.5075960-04:00
108,7,Matchday 15,,15,False,2013-09-06,2013-09-06,False,2014-10-17T00:54:17.5095280-04:00,2014-10-17T00:54:17.5095280-04:00
109,7,Matchday 16,,16,False,2013-09-10,2013-09-10,False,2014-10-17T00:54:17.5113370-04:00,2014-10-17T00:54:17.5113370-04:00
110,7,Matchday 17,,17,False,2013-10-11,2013-10-11,False,2014-10-17T00:54:17.5131850-04:00,2014-10-17T00:54:17.5131850-04:00
111,7,Matchday 18,,18,False,2013-10-15,2013-10-15,False,2014-10-17T00:54:17.5150390-04:00,2014-10-17T00:54:17.5150390-04:00
112,8,Matchday 1,,1,False,2014-06-12,2014-06-12,False,2014-10-17T00:54:18.1160240-04:00,2014-10-17T00:54:18.1160240-04:00
113,8,Matchday 2,,2,False,2014-06-13,2014-06-13,False,2014-10-17T00:54:18.1180370-04:00,2014-10-17T00:54:18.1180370-04:00
114,8,Matchday 3,,3,False,2014-06-14,2014-06-14,False,2014-10-17T00:54:18.1200120-04:00,2014-10-17T00:54:18.1200120-04:00
115,8,Matchday 4,,4,False,2014-06-15,2014-06-15,False,2014-10-17T00:54:18.1221480-04:00,2014-10-17T00:54:18.1221480-04:00
116,8,Matchday 5,,5,False,2014-06-16,2014-06-16,False,2014-10-17T00:54:18.1240080-04:00,2014-10-17T00:54:18.1240080-04:00
117,8,Matchday 6,,6,False,2014-06-17,2014-06-17,False,2014-10-17T00:54:18.1258250-04:00,2014-10-17T00:54:18.1258250-04:00
118,8,Matchday 7,,7,False,2014-06-18,2014-06-18,False,2014-10-17T00:54:18.1275960-04:00,2014-10-17T00:54:18.1275960-04:00
119,8,Matchday 8,,8,False,2014-06-19,2014-06-19,False,2014-10-17T00:54:18.1293880-04:00,2014-10-17T00:54:18.1293880-04:00
120,8,Matchday 9,,9,False,2014-06-20,2014-06-20,False,2014-10-17T00:54:18.1312930-04:00,2014-10-17T00:54:18.1312930-04:00
121,8,Matchday 10,,10,False,2014-06-21,2014-06-21,False,2014-10-17T00:54:18.1330620-04:00,2014-10-17T00:54:18.1330620-04:00
122,8,Matchday 11,,11,False,2014-06-22,2014-06-22,False,2014-10-17T00:54:18.1349930-04:00,2014-10-17T00:54:18.1349930-04:00
123,8,Matchday 12,,12,False,2014-06-23,2014-06-23,False,2014-10-17T00:54:18.1367820-04:00,2014-10-17T00:54:18.1367820-04:00
124,8,Matchday 13,,13,False,2014-06-24,2014-06-24,False,2014-10-17T00:54:18.1385640-04:00,2014-10-17T00:54:18.1385640-04:00
125,8,Matchday 14,,14,False,2014-06-25,2014-06-25,False,2014-10-17T00:54:18.1404120-04:00,2014-10-17T00:54:18.1404120-04:00
126,8,Matchday 15,,15,False,2014-06-26,2014-06-26,False,2014-10-17T00:54:18.1424210-04:00,2014-10-17T00:54:18.1424210-04:00
127,8,Round of 16,,16,False,2014-06-28,2014-07-01,False,2014-10-17T00:54:18.1448880-04:00,2014-10-17T00:54:18.1448880-04:00
128,8,Quarter-finals,,17,False,2014-07-04,2014-07-05,False,2014-10-17T00:54:18.1468440-04:00,2014-10-17T00:54:18.1468440-04:00
129,8,Semi-finals,,18,False,2014-07-08,2014-07-09,False,2014-10-17T00:54:18.1488280-04:00,2014-10-17T00:54:18.1488280-04:00
130,8,Match for third place,,19,False,2014-07-12,2014-07-12,False,2014-10-17T00:54:18.1507000-04:00,2014-10-17T00:54:18.1507000-04:00
131,8,Final,,20,False,2014-07-13,2014-07-13,False,2014-10-17T00:54:18.1525500-04:00,2014-10-17T00:54:18.1525500-04:00
132,9,1. Round,,1,False,2008-06-07,2008-06-10,False,2014-10-17T00:54:20.7907780-04:00,2014-10-17T00:54:20.9973380-04:00
133,9,2. Round,,2,False,2008-06-11,2008-06-14,False,2014-10-17T00:54:20.8168040-04:00,2014-10-17T00:54:21.0001630-04:00
134,9,3. Round,,3,False,2008-06-15,2008-06-18,False,2014-10-17T00:54:20.8351790-04:00,2014-10-17T00:54:21.0024560-04:00
135,9,Quarter-finals,,4,False,2008-06-19,2008-06-22,False,2014-10-17T00:54:20.9492270-04:00,2014-10-17T00:54:21.0046510-04:00
136,9,Semi-finals,,5,False,2008-06-25,2008-06-26,False,2014-10-17T00:54:20.9711300-04:00,2014-10-17T00:54:21.0070190-04:00
137,9,Final,,6,False,2008-06-29,2008-06-29,False,2014-10-17T00:54:20.9889870-04:00,2014-10-17T00:54:21.0090780-04:00
138,10,1. Round,,1,False,2012-06-08,2012-06-11,False,2014-10-17T00:54:21.1267070-04:00,2014-10-17T00:54:21.2909100-04:00
139,10,2. Round,,2,False,2012-06-12,2012-06-15,False,2014-10-17T00:54:21.1377890-04:00,2014-10-17T00:54:21.2932670-04:00
140,10,3. Round,,3,False,2012-06-16,2012-06-19,False,2014-10-17T00:54:21.1489310-04:00,2014-10-17T00:54:21.2955230-04:00
141,10,Quarter-finals,,4,False,2012-06-21,2012-06-24,False,2014-10-17T00:54:21.2559120-04:00,2014-10-17T00:54:21.2977060-04:00
142,10,Semi-finals,,5,False,2012-06-27,2012-06-28,False,2014-10-17T00:54:21.2735290-04:00,2014-10-17T00:54:21.2997850-04:00
143,10,Final,,6,False,2012-07-01,2012-07-01,False,2014-10-17T00:54:21.2836480-04:00,2014-10-17T00:54:21.3018570-04:00
