Id,key,name,synonyms,code,born_at,city_id,region_id,country_id,nationality_id,created_at,updated_at
56,fabriceolinga,Fabrice Olinga,,,1996-05-12,,,19,19,2014-10-17T00:54:06.1180200-04:00,2014-10-17T00:54:06.1180200-04:00
57,raismbolhi,RaÃ¯s M'Bolhi,,,1986-04-25,,,27,27,2014-10-17T00:54:06.1218210-04:00,2014-10-17T00:54:06.1218210-04:00
58,mohamedzemmamouche,Mohamed Zemmamouche,,,1985-03-19,,,27,27,2014-10-17T00:54:06.1237060-04:00,2014-10-17T00:54:06.1237060-04:00
59,azzedinedoukha,Azzedine Doukha,,,1986-08-05,,,27,27,2014-10-17T00:54:06.1253900-04:00,2014-10-17T00:54:06.1253900-04:00
60,cedricsimohamed,CÃ©dric Si Mohamed,,,1985-01-09,,,27,27,2014-10-17T00:54:06.1271440-04:00,2014-10-17T00:54:06.1271440-04:00
61,madjidbougherra,Madjid Bougherra,,,1982-10-07,,,27,27,2014-10-17T00:54:06.1289660-04:00,2014-10-17T00:54:06.1289660-04:00
62,rafikhalliche,Rafik Halliche,,,1986-09-02,,,27,27,2014-10-17T00:54:06.1307480-04:00,2014-10-17T00:54:06.1307480-04:00
63,djamelmesbah,Djamel Mesbah,,,1984-10-09,,,27,27,2014-10-17T00:54:06.1325450-04:00,2014-10-17T00:54:06.1325450-04:00
64,carlmedjani,Carl Medjani,,,1985-05-15,,,27,27,2014-10-17T00:54:06.1342590-04:00,2014-10-17T00:54:06.1342590-04:00
65,essaidbelkalem,EssaÃ¯d Belkalem,,,1989-01-01,,,27,27,2014-10-17T00:54:06.1360220-04:00,2014-10-17T00:54:06.1360220-04:00
66,liassinecadamurobentaiba,Liassine Cadamuro-BentaÃ¯ba,,,1988-03-05,,,27,27,2014-10-17T00:54:06.1378670-04:00,2014-10-17T00:54:06.1378670-04:00
67,faouzighoulam,Faouzi Ghoulam,,,1991-02-01,,,27,27,2014-10-17T00:54:06.1396330-04:00,2014-10-17T00:54:06.1396330-04:00
68,nacereddinekhoualed,Nacereddine Khoualed,,,1986-04-16,,,27,27,2014-10-17T00:54:06.1420370-04:00,2014-10-17T00:54:06.1420370-04:00
69,aissamandi,AÃ¯ssa Mandi,,,1991-10-22,,,27,27,2014-10-17T00:54:06.1440690-04:00,2014-10-17T00:54:06.1440690-04:00
70,medhilacen,Medhi Lacen,,,1984-05-15,,,27,27,2014-10-17T00:54:06.1459350-04:00,2014-10-17T00:54:06.1459350-04:00
71,adleneguedioura,AdlÃ¨ne Guedioura,,,1985-11-12,,,27,27,2014-10-17T00:54:06.1478950-04:00,2014-10-17T00:54:06.1478950-04:00
72,hassanyebda,Hassan Yebda,,,1984-05-14,,,27,27,2014-10-17T00:54:06.1496860-04:00,2014-10-17T00:54:06.1496860-04:00
73,fouedkadir,Foued Kadir,,,1983-12-05,,,27,27,2014-10-17T00:54:06.1516240-04:00,2014-10-17T00:54:06.1516240-04:00
74,mehdimostefa,Mehdi Mostefa,,,1983-08-30,,,27,27,2014-10-17T00:54:06.1538010-04:00,2014-10-17T00:54:06.1538010-04:00
75,sofianefeghouli,Sofiane Feghouli,,,1989-12-26,,,27,27,2014-10-17T00:54:06.1563710-04:00,2014-10-17T00:54:06.1563710-04:00
76,ryadboudebouz,Ryad Boudebouz,,,1990-02-19,,,27,27,2014-10-17T00:54:06.1581380-04:00,2014-10-17T00:54:06.1581380-04:00
77,saphirtaider,Saphir TaÃ¯der,,,1992-02-29,,,27,27,2014-10-17T00:54:06.1601760-04:00,2014-10-17T00:54:06.1601760-04:00
