Id,name,kind,lat,lng,created_at,updated_at
92,Mali,CNTY,,,2014-10-17T00:53:50.7879110-04:00,2014-10-17T00:53:50.7879110-04:00
93,Bamako,MTRO,,,2014-10-17T00:53:50.7904600-04:00,2014-10-17T00:53:54.5848280-04:00
94,Mauritania,CNTY,,,2014-10-17T00:53:50.8033800-04:00,2014-10-17T00:53:50.8033800-04:00
95,Niger,CNTY,,,2014-10-17T00:53:50.8165630-04:00,2014-10-17T00:53:50.8165630-04:00
96,Niamey,MTRO,,,2014-10-17T00:53:50.8191100-04:00,2014-10-17T00:53:54.5931020-04:00
97,Nigeria,CNTY,,,2014-10-17T00:53:50.8329660-04:00,2014-10-17T00:53:50.8329660-04:00
98,Senegal,CNTY,,,2014-10-17T00:53:50.8480340-04:00,2014-10-17T00:53:50.8480340-04:00
99,Dakar,MTRO,,,2014-10-17T00:53:50.8506740-04:00,2014-10-17T00:53:54.6459950-04:00
100,Sierra Leone,CNTY,,,2014-10-17T00:53:50.8637730-04:00,2014-10-17T00:53:50.8637730-04:00
101,Freetown,MTRO,,,2014-10-17T00:53:50.8663910-04:00,2014-10-17T00:53:54.6419120-04:00
102,Togo,CNTY,,,2014-10-17T00:53:50.8846490-04:00,2014-10-17T00:53:50.8846490-04:00
103,Lom̩,MTRO,,,2014-10-17T00:53:50.8873200-04:00,2014-10-17T00:53:54.6587200-04:00
104,Kazakhstan,CNTY,,,2014-10-17T00:53:50.9018780-04:00,2014-10-17T00:53:50.9018780-04:00
105,Kyrgyzstan,CNTY,,,2014-10-17T00:53:50.9197730-04:00,2014-10-17T00:53:50.9197730-04:00
106,Bishkek,CITY,,,2014-10-17T00:53:50.9224320-04:00,2014-10-17T00:53:50.9224320-04:00
107,Tajikistan,CNTY,,,2014-10-17T00:53:50.9363740-04:00,2014-10-17T00:53:50.9363740-04:00
108,Dushanbe,CITY,,,2014-10-17T00:53:50.9393500-04:00,2014-10-17T00:53:50.9393500-04:00
109,Turkmenistan,CNTY,,,2014-10-17T00:53:50.9543250-04:00,2014-10-17T00:53:50.9543250-04:00
110,Ashgabat,CITY,,,2014-10-17T00:53:50.9570490-04:00,2014-10-17T00:53:50.9570490-04:00
111,Uzbekistan,CNTY,,,2014-10-17T00:53:50.9694730-04:00,2014-10-17T00:53:50.9694730-04:00
112,Tashkent,CITY,,,2014-10-17T00:53:50.9719000-04:00,2014-10-17T00:53:50.9719000-04:00
113,Japan,CNTY,,,2014-10-17T00:53:50.9850510-04:00,2014-10-17T00:53:50.9850510-04:00
114,North Korea,CNTY,,,2014-10-17T00:53:50.9901620-04:00,2014-10-17T00:53:50.9901620-04:00
115,South Korea,CNTY,,,2014-10-17T00:53:51.0048960-04:00,2014-10-17T00:53:51.0048960-04:00
116,China,CNTY,,,2014-10-17T00:53:51.0137780-04:00,2014-10-17T00:53:51.0137780-04:00
117,Taiwan,CNTY,,,2014-10-17T00:53:51.0194610-04:00,2014-10-17T00:53:51.0194610-04:00
118,Mongolia,CNTY,,,2014-10-17T00:53:51.0302850-04:00,2014-10-17T00:53:51.0302850-04:00
119,Ulan Bator,CITY,,,2014-10-17T00:53:51.0328730-04:00,2014-10-17T00:53:51.0328730-04:00
120,Pakistan,CNTY,,,2014-10-17T00:53:51.0452490-04:00,2014-10-17T00:53:51.0452490-04:00
121,India,CNTY,,,2014-10-17T00:53:51.0620300-04:00,2014-10-17T00:53:51.0620300-04:00
122,Bangladesh,CNTY,,,2014-10-17T00:53:51.0831460-04:00,2014-10-17T00:53:51.0831460-04:00
123,Nepal,CNTY,,,2014-10-17T00:53:51.0989990-04:00,2014-10-17T00:53:51.0989990-04:00
124,Sri Lanka,CNTY,,,2014-10-17T00:53:51.1113020-04:00,2014-10-17T00:53:51.1113020-04:00
125,Bhutan,CNTY,,,2014-10-17T00:53:51.1260340-04:00,2014-10-17T00:53:51.1260340-04:00
126,Thimphu,CITY,,,2014-10-17T00:53:51.1288110-04:00,2014-10-17T00:53:51.1288110-04:00
127,Maldives,CNTY,,,2014-10-17T00:53:51.1458300-04:00,2014-10-17T00:53:51.1458300-04:00
128,Mal̩,CITY,,,2014-10-17T00:53:51.1486530-04:00,2014-10-17T00:53:51.1486530-04:00
129,Afghanistan,CNTY,,,2014-10-17T00:53:51.1661710-04:00,2014-10-17T00:53:51.1661710-04:00
130,Kabul,CITY,,,2014-10-17T00:53:51.1685540-04:00,2014-10-17T00:53:51.1685540-04:00
131,Indonesia,CNTY,,,2014-10-17T00:53:51.1831900-04:00,2014-10-17T00:53:51.1831900-04:00
132,Malaysia,CNTY,,,2014-10-17T00:53:51.1880430-04:00,2014-10-17T00:53:51.1880430-04:00
133,Singapore,CNTY,,,2014-10-17T00:53:51.2182650-04:00,2014-10-17T00:53:51.2182650-04:00
