Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
P1,22/09/13,Estoril,Porto,2,2,D,1,1,D,8.5,4.33,1.4,7.25,4.4,1.4,7.5,4.2,1.35,7.5,4.33,1.36,8.89,4.8,1.41,6.5,4.2,1.44,8,4.33,1.4,8.5,4.8,1.4,33,8.95,7.43,4.8,4.41,1.47,1.4,29,1.85,1.78,2.1,2.01,16,1,2.31,2.23,1.81,1.68
P1,22/09/13,Guimaraes,Benfica,0,1,A,0,0,D,8.5,4.33,1.4,7,4,1.45,6.5,4,1.4,7,4.1,1.4,8.25,4.63,1.44,7,4,1.44,7.5,4,1.4,8.5,4.6,1.4,34,8.5,7.16,4.75,4.28,1.5,1.42,30,1.88,1.8,2.12,1.99,17,1,2.22,2.17,1.82,1.71
P1,22/09/13,Nacional,Academica,1,0,H,1,0,H,1.91,3.4,4,1.95,3.2,3.9,1.9,3.2,3.6,1.95,3.1,3.6,2.06,3.39,3.99,1.91,3.3,3.75,1.95,3.3,3.75,2.05,3.4,4,33,2.06,1.97,3.5,3.3,4.2,3.72,29,2.02,1.92,1.94,1.86,15,-0.25,1.78,1.73,2.2,2.14
P1,23/09/13,Pacos Ferreira,Setubal,1,1,D,0,1,A,1.85,3.4,4.33,1.83,3.3,4.25,1.8,3.2,4,1.85,3.3,4,1.95,3.54,4.26,1.73,3.4,4.5,1.9,3.3,4,1.95,3.5,4.1,30,1.96,1.88,3.54,3.32,4.6,4.11,26,2.1,2,1.91,1.8,13,-0.75,2.25,2.2,1.75,1.69
P1,27/09/13,Porto,Guimaraes,1,0,H,0,0,D,1.18,6.5,15,1.17,6.5,13.5,1.17,5.7,12,1.18,6,16,1.2,7.35,18.4,1.18,6,13,1.18,6.5,12,1.2,7,17,35,1.21,1.18,7.5,6.73,18.57,14.01,23,1.67,1.59,2.42,2.27,19,-2,2.17,2.09,1.83,1.77
P1,28/09/13,Academica,Arouca,0,0,D,0,0,D,2.1,3.4,3.3,2.15,3,3.5,2,3.2,3.3,2.2,3,3.2,2.25,3.41,3.41,2.1,3.1,3.4,2.1,3.25,3.25,2.3,3.3,3.3,33,2.3,2.15,3.41,3.21,3.8,3.31,29,2.26,2.11,1.77,1.7,14,-0.25,1.98,1.94,1.97,1.92
P1,28/09/13,Benfica,Belenenses,1,1,D,1,1,D,1.13,8.5,17,1.14,7,16,1.15,6,13,1.15,6.5,18,1.17,8.1,18.7,1.17,6,15,1.17,7.5,12,1.17,8,17,32,1.2,1.16,8.5,7.37,23.2,14.46,18,1.53,1.46,2.8,2.6,17,-2,1.96,1.9,2.05,1.94
P1,28/09/13,Maritimo,Pacos Ferreira,3,4,A,1,0,H,2.1,3.2,3.6,2.1,3.2,3.4,2,3.2,3.3,2.1,3,3.4,2.25,3.35,3.48,2,3.2,3.6,2.2,3.2,3.3,2.25,3.3,3.4,32,2.26,2.15,3.4,3.2,3.7,3.34,28,2.2,2.08,1.78,1.72,14,-0.25,1.95,1.92,1.99,1.94
P1,28/09/13,Olhanense,Estoril,1,2,A,1,1,D,3.8,3.3,2,3.9,3.25,1.95,3.3,3.2,2,3.9,3.1,1.9,4.33,3.35,2.02,3.6,3.2,2,3.8,3.2,1.95,4.2,3.3,2,32,4.33,3.84,3.4,3.25,2.05,1.97,22,2.3,2.18,1.72,1.64,14,0.5,1.96,1.9,2,1.95
P1,28/09/13,Rio Ave,Nacional,0,3,A,0,1,A,2.1,3.2,3.6,2,3.25,3.7,2.1,3.1,3.2,2.1,2.9,3.5,2.18,3.37,3.65,2.1,3.25,3.25,2.1,3.2,3.4,2.15,3.3,3.6,33,2.2,2.12,3.37,3.18,3.8,3.43,29,2.21,2.09,1.85,1.71,14,-0.5,2.2,2.13,1.78,1.74
