Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC
Christian Bolaños,VAN,M,21,18,1626,0,7,29,7,12,30,2,0,1
Taylor Kemp,DC,D,22,22,1980,0,0,11,2,12,17,0,2,0
Lawrence Olum,POR,M-D,30,22,2103,1,0,10,2,12,7,1,3,0
Kofi Opare,DC,D,26,25,2214,2,1,32,8,12,12,3,2,0
Chad Marshall,SEA,D,28,27,2366,1,2,15,4,12,15,1,2,0
Haris Medunjanin,PHI,M,34,34,3057,2,12,36,10,12,3,2,4,0
Sean Okoli,NYC,F,16,3,421,1,0,13,6,11,6,1,1,0
Collin Martin,MIN,M,11,7,635,0,1,2,1,11,7,0,4,0
Djordje Mihailovic,CHI,M,17,7,732,1,2,8,1,11,15,0,0,0
Je-Vaughn Watson,NE,D,18,8,766,0,0,5,2,11,5,0,5,1
Marcel de Jong,VAN,D-M,13,9,779,0,1,5,2,11,10,0,1,0
Servando Carrasco,LA,M,15,9,833,1,0,5,1,11,4,0,2,1
Drew Conner,CHI,M,21,8,882,0,1,3,1,11,5,1,0,0
Daniel Salloi,SKC,F,22,12,1172,3,2,42,19,11,18,4,1,0
Hector Jimenez,CLB,M,19,15,1366,0,3,6,1,11,15,0,1,0
Nicolai Naess,CLB,D,18,17,1476,0,0,8,1,11,6,0,1,0
Anton Walkes,ATL,D,20,17,1528,2,0,7,4,11,2,1,2,0
Harrison Afful,CLB,D,24,21,1777,0,1,16,2,11,21,6,3,1
Fafa Picault,PHI,M,28,23,1894,7,3,46,22,11,27,7,1,0
Joao Plata,RSL,F,29,27,2318,7,5,95,30,11,34,12,1,0
Nemanja Nikolic,CHI,F,34,34,2946,24,4,118,59,11,22,51,1,0
Louis Beland-Goyette,MTL,M,6,4,293,0,1,0,0,10,3,0,2,0
Jonathan Lewis,NYC,F,11,4,342,2,1,9,5,10,4,3,0,0
Fredrik Gulbrandsen,NYR,F,12,4,362,0,1,13,4,10,10,2,2,0
Caleb Calvert,COL,F,12,3,378,1,1,11,2,10,1,2,2,1
Andres Romero,MTL,M,9,4,432,0,0,7,2,10,5,1,1,0
PC,ORL,D,8,5,436,0,1,3,0,10,10,0,1,1
Vicente Sanchez,HOU,F,21,3,517,2,5,21,7,10,16,4,0,0
Mikey Lopez,NYC,M,12,5,609,0,0,2,0,10,4,0,2,0
Simon Dawkins,SJ,M,14,7,637,0,0,10,1,10,7,0,0,0
Derrick Etienne Jr.,RBNY,F-M,18,8,702,0,2,13,6,10,14,4,2,0
Luis Gil,COL,M,21,9,853,0,0,17,10,10,7,0,1,0
David Horst,RSL,D,12,8,880,0,1,7,2,10,5,0,4,0
Patrick Nyarko,DC,F-M,14,12,1028,1,2,18,7,10,29,8,0,0
Alex Crognale,CLB,D,17,12,1069,0,1,8,2,10,9,0,1,0
Dylan Remick,HOU,D,14,13,1167,1,0,6,1,10,6,0,1,0
Richie Marquez,PHI,D,15,13,1212,1,0,6,1,10,4,0,0,0
Dominic Oduro,MTL,M,25,17,1439,1,0,26,10,10,27,13,1,0
Frederic Brillant,DC,D,23,16,1523,1,1,15,5,10,7,1,3,0
Drew Moor,TOR,D,25,24,2176,2,1,12,3,10,24,0,1,0
Dave Romney,LA,D,29,23,2249,2,1,19,9,10,4,0,0,0
Darlington Nagbe,ATL,M,27,27,2332,3,5,42,10,10,44,2,3,0
Adrian Arregui,MTL,M,6,3,238,0,1,0,0,9,3,0,1,0
Richmond Laryea,ORL,M,12,1,250,0,1,3,2,9,18,0,2,0
Ricardo Velazco,RSL,F,9,1,254,0,0,5,1,9,14,0,2,0
Khiry Shelton,SKC,F,15,3,502,1,0,7,2,9,6,0,0,0
Oniel Fisher,DC,D,9,7,543,0,0,6,1,9,10,0,1,0
