Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
SC2,05/10/13,Forfar,Dunfermline,4,0,H,2,0,H,3.4,3.6,1.91,3.25,3.5,1.95,3,3.3,2,2.87,3.6,2,3.56,3.93,2,3.4,3.4,2.1,3.3,3.6,2,3.4,3.6,2.1,27,3.75,3.22,3.75,3.5,2.1,1.99,15,1.5,1.46,2.75,2.58,14,0.5,1.87,1.82,2.08,2.03
SC2,05/10/13,Stenhousemuir,East Fife,1,1,D,1,1,D,1.7,3.75,4.75,1.7,3.7,4,1.75,3.4,3.7,1.8,3.5,3.5,1.746,4.15,4.51,1.8,3.75,4.2,1.67,3.75,4.5,1.75,3.75,4.6,27,1.8,1.7,3.8,3.65,4.75,4.33,16,1.55,1.48,2.63,2.54,14,-0.75,2.02,1.9,2.01,1.95
SC2,05/10/13,Stranraer,Arbroath,3,2,H,3,0,H,2.25,3.4,2.8,2.45,3.4,2.45,2.3,3.2,2.5,2.5,3.5,2.25,2.31,3.77,2.96,2.5,3.5,2.62,2.3,3.5,2.75,2.45,3.5,2.6,27,2.5,2.36,3.5,3.35,2.95,2.65,16,1.55,1.5,2.62,2.49,13,0,1.82,1.78,2.11,2.07
SC2,06/10/13,Ayr,Rangers,0,2,A,0,0,D,10,5.75,1.22,8.5,5.75,1.22,9,4.5,1.25,9,5.5,1.2,,,,9.5,5.5,1.29,9.5,5.75,1.25,12,6,1.25,27,14,10.09,6.5,5.53,1.29,1.22,16,1.33,1.29,3.75,3.4,11,1.5,2.33,2.25,1.7,1.66
SC2,12/10/13,Arbroath,Airdrie Utd,3,2,H,1,0,H,2.1,3.75,3.1,2.1,3.5,2.9,2,3.3,3,2.1,3.5,2.75,2.16,3.83,3.26,2.05,3.7,3.25,2.1,3.6,3,2.2,3.8,2.9,32,2.25,2.12,3.8,3.51,3.25,2.97,18,1.5,1.45,2.75,2.62,16,-0.5,2.27,2.2,1.75,1.69
SC2,12/10/13,East Fife,Ayr,1,4,A,1,2,A,2.63,3.75,2.38,2.65,3.5,2.25,2.4,3.2,2.4,2.62,3.5,2.2,2.67,3.7,2.56,2.7,3.2,2.6,2.5,3.5,2.4,2.7,3.75,2.45,32,2.7,2.57,3.75,3.38,2.6,2.44,19,1.57,1.51,2.62,2.43,15,0,2.03,1.97,1.92,1.87
SC2,12/10/13,Forfar,Stranraer,1,2,A,1,2,A,2,3.75,3.4,2.05,3.5,2.95,2,3.3,3,2.1,3.5,2.75,2.05,3.86,3.47,2.1,3.5,3.3,2,3.5,3.25,2.05,3.8,3.3,32,2.1,2.02,3.86,3.49,3.47,3.19,19,1.53,1.47,2.75,2.55,17,-0.5,2.09,2.03,1.85,1.82
SC2,12/10/13,Stenhousemuir,Brechin,3,2,H,0,1,A,2.1,3.75,3.1,2.2,3.5,2.7,2,3.3,3,2.1,3.5,2.75,2.17,3.78,3.23,2.3,3.3,3.1,2.1,3.6,3,2.15,3.75,3.12,32,2.3,2.12,3.78,3.44,3.23,3.01,19,1.55,1.49,2.63,2.49,17,-0.25,1.94,1.88,2,1.95
SC2,19/10/13,Airdrie Utd,Forfar,0,2,A,0,1,A,2.4,3.5,2.75,2.25,3.5,2.65,2.3,3.2,2.5,2.2,3.5,2.62,2.29,3.79,3.04,2.5,3.5,2.62,2.3,3.6,2.63,2.4,3.6,2.75,30,2.5,2.26,3.6,3.38,3.1,2.74,18,1.5,1.44,2.8,2.63,16,-0.25,2.18,2.01,1.88,1.83
SC2,19/10/13,Ayr,Arbroath,2,0,H,1,0,H,1.83,3.75,4,1.83,3.5,3.6,1.8,3.3,3.6,1.9,3.5,3.2,1.85,3.93,4.14,1.91,4,3.4,1.83,3.6,3.75,1.8,4,4,31,1.91,1.82,4,3.67,4,3.64,19,1.5,1.44,2.75,2.63,12,-0.5,1.87,1.83,2.05,2
