Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
SC0,31/08/13,St Mirren,Partick,1,2,A,0,0,D,W Collum,8,16,3,6,10,8,2,11,0,0,0,0,2.5,3.3,2.8,2.35,3.25,2.7,2.4,3.1,2.7,2.4,3.3,2.87,2.6,3.33,2.89,2.45,3.1,2.8,2.5,3.4,2.75,2.6,3.3,2.8,33,2.63,2.49,3.4,3.22,2.89,2.78,31,2.12,2.02,1.85,1.77,16,0,1.88,1.82,2.12,2
SC0,14/09/13,Hearts,Celtic,1,3,A,0,1,A,W Collum,5,10,3,5,11,15,2,11,2,3,0,0,8.5,4.75,1.36,7.25,4.4,1.36,6.5,4,1.4,8,4.5,1.4,9.43,4.96,1.38,8,4.5,1.44,7,4.5,1.4,8.5,4.75,1.4,33,10.23,7.89,5.01,4.55,1.44,1.37,29,1.8,1.69,2.2,2.08,16,1.5,1.82,1.75,2.16,2.1
SC0,14/09/13,Kilmarnock,Inverness C,1,2,A,0,1,A,S McLean,7,6,4,3,9,15,7,4,1,1,0,0,3.8,3.5,1.95,3.2,3.5,2,3.3,3.2,2,3.4,3.4,2.1,3.95,3.63,1.99,3.75,3.1,2.1,3.75,3.4,2,3.7,3.6,2.05,34,3.95,3.63,3.62,3.36,2.1,1.99,32,1.89,1.8,2.06,1.98,15,0.25,2.22,2.13,1.77,1.74
SC0,14/09/13,Partick,Aberdeen,0,3,A,0,2,A,J Beaton,7,7,3,6,3,10,4,6,1,2,0,0,2.6,3.25,2.7,2.65,3.2,2.45,2.6,3.1,2.5,2.62,3.3,2.6,2.77,3.16,2.84,2.75,3,2.75,2.63,3.2,2.63,2.75,3.2,2.75,34,2.77,2.64,3.3,3.12,2.84,2.66,29,2.44,2.3,1.67,1.59,16,0,1.96,1.9,1.99,1.92
SC0,14/09/13,St Johnstone,Hibernian,1,2,A,1,1,D,B Madden,4,7,1,4,21,11,1,5,3,3,0,0,1.83,3.5,4.33,1.83,3.4,3.9,1.75,3.3,4.2,1.83,3.5,4.33,1.86,3.55,4.72,1.91,3.1,4.5,1.8,3.4,4.5,1.87,3.5,4.5,33,1.91,1.83,3.5,3.39,4.85,4.33,31,2.23,2.03,1.85,1.76,14,-0.5,1.87,1.83,2.09,2.02
SC0,14/09/13,St Mirren,Motherwell,0,1,A,0,1,A,C Thomson,4,8,1,2,8,13,6,3,2,1,0,0,3.4,3.3,2.15,3.4,3.25,2,3.3,3.2,2,3.4,3.4,2.1,3.57,3.46,2.17,3.4,3.1,2.25,3.4,3.4,2.1,3.4,3.4,2.2,31,3.55,3.34,3.53,3.28,2.25,2.12,29,2,1.93,1.97,1.85,15,0.5,1.79,1.73,2.2,2.13
SC0,15/09/13,Ross County,Dundee United,2,4,A,0,3,A,B Colvin,13,14,8,11,9,8,8,9,1,0,0,0,2.5,3.3,2.8,2.3,3.25,2.8,2.2,3.1,3,2.4,3.3,2.87,2.58,3.34,2.91,2.38,3.25,3,2.4,3.25,2.88,2.6,3.3,2.8,32,2.68,2.42,3.4,3.24,3,2.83,30,2.05,1.96,1.91,1.81,16,0,1.92,1.82,2.05,2.01
SC0,21/09/13,Aberdeen,Inverness C,1,0,H,0,0,D,C Thomson,9,5,3,4,18,15,8,6,4,3,0,0,2.38,3.5,2.8,2.4,3.25,2.65,2.3,3.1,2.8,2.5,3.3,2.8,2.68,3.37,2.78,2.62,3.1,2.8,2.5,3.3,2.63,2.7,3.4,2.7,33,2.73,2.54,3.45,3.23,2.82,2.7,32,2.11,2,1.87,1.78,16,0,1.98,1.87,1.99,1.95
SC0,21/09/13,Celtic,St Johnstone,2,1,H,2,0,H,A Muir,5,4,2,2,5,9,5,5,1,3,0,0,1.4,4.75,7,1.36,4.33,7.5,1.35,4.2,7.5,1.4,4.5,8,1.41,4.9,8.55,1.44,4,8,1.4,4.5,6.5,1.44,4.75,7.5,33,1.44,1.4,4.9,4.47,8.9,7.22,31,1.79,1.7,2.2,2.12,15,-1.5,2.32,2.23,1.75,1.66
SC0,21/09/13,Hibernian,St Mirren,2,0,H,1,0,H,S McLean,12,1,6,1,13,12,5,5,2,0,0,0,2.1,3.4,3.4,1.95,3.3,3.5,2,3.2,3.3,2.05,3.3,3.6,2.25,3.37,3.46,2.25,3.2,3.3,2.1,3.4,3.25,2.15,3.4,3.6,32,2.25,2.13,3.45,3.26,3.75,3.33,31,2.13,2.03,1.82,1.76,15,-0.25,1.92,1.88,2.02,1.97
SC0,21/09/13,Partick,Kilmarnock,1,1,D,1,0,H,B Madden,11,7,9,3,8,9,6,5,3,4,0,0,2.05,3.4,3.5,2,3.3,3.4,1.9,3.2,3.6,2.1,3.25,3.6,2.19,3.4,3.57,2.2,3.2,3.4,2.1,3.3,3.5,2.15,3.4,3.6,33,2.2,2.07,3.45,3.28,3.8,3.46,32,2.15,2.05,1.83,1.74,15,-0.5,2.19,2.1,1.83,1.77
