date,time_est,day_of_week,home_club,home_initials,home_score,away_club,away_initials,away_score
12-Sep-2015,9:00PM EDT,Saturday,Colorado,COL,,D.C. United,DC,
12-Sep-2015,10:30PM EDT,Saturday,San Jose,SJ,,Seattle,SEA,
12-Sep-2015,10:30PM EDT,Saturday,LA Galaxy,LA,,Montreal,MON,
13-Sep-2015,5:00PM EDT,Sunday,Toronto FC,TOR,,New England,NE,
13-Sep-2015,7:00PM EDT,Sunday,Orlando,ORL,,Sporting KC,SKC,
16-Sep-2015,TBD,Wednesday,New York City,NYC,,Toronto FC,TOR,
16-Sep-2015,7:30PM EDT,Wednesday,New England,NE,,NY Red Bulls,NYRB,
18-Sep-2015,7:00PM EDT,Friday,Sporting KC,SKC,,FC Dallas,FCD,
19-Sep-2015,TBD,Saturday,Montreal,MON,,New England,NE,
19-Sep-2015,TBD,Saturday,Toronto FC,TOR,,Colorado,COL,
19-Sep-2015,TBD,Saturday,Vancouver,VAN,,Seattle,SEA,
19-Sep-2015,TBD,Saturday,New York City,NYC,,San Jose,SJ,
19-Sep-2015,7:00PM EDT,Saturday,D.C. United,DC,,Columbus,CLB,
19-Sep-2015,8:30PM EDT,Saturday,Chicago,CHI,,Orlando,ORL,
19-Sep-2015,9:30PM EDT,Saturday,Real Salt Lake,RSL,,LA Galaxy,LA,
20-Sep-2015,5:00PM EDT,Sunday,Portland,POR,,NY Red Bulls,NYRB,
20-Sep-2015,7:00PM EDT,Sunday,Philadelphia,PHI,,Houston,HOU,
23-Sep-2015,8:30PM EDT,Wednesday,Houston,HOU,,Sporting KC,SKC,
25-Sep-2015,7:00PM EDT,Friday,NY Red Bulls,NYRB,,Orlando,ORL,
26-Sep-2015,TBD,Saturday,Montreal,MON,,D.C. United,DC,
26-Sep-2015,TBD,Saturday,Toronto FC,TOR,,Chicago,CHI,
26-Sep-2015,TBD,Saturday,Vancouver,VAN,,New York City,NYC,
26-Sep-2015,7:30PM EDT,Saturday,Columbus,CLB,,Portland,POR,
26-Sep-2015,7:30PM EDT,Saturday,New England,NE,,Philadelphia,PHI,
26-Sep-2015,8:30PM EDT,Saturday,Houston,HOU,,Colorado,COL,
26-Sep-2015,10:30PM EDT,Saturday,LA Galaxy,LA,,FC Dallas,FCD,
27-Sep-2015,5:00PM EDT,Sunday,Sporting KC,SKC,,Seattle,SEA,
27-Sep-2015,7:00PM EDT,Sunday,San Jose,SJ,,Real Salt Lake,RSL,
2-Oct-2015,7:00PM EDT,Friday,D.C. United,DC,,New York City,NYC,
3-Oct-2015,TBD,Saturday,Toronto FC,TOR,,Philadelphia,PHI,
3-Oct-2015,7:00PM EDT,Saturday,NY Red Bulls,NYRB,,Columbus,CLB,
3-Oct-2015,7:30PM EDT,Saturday,Orlando,ORL,,Montreal,MON,
3-Oct-2015,8:30PM EDT,Saturday,Chicago,CHI,,New England,NE,
3-Oct-2015,9:00PM EDT,Saturday,Colorado,COL,,Real Salt Lake,RSL,
3-Oct-2015,10:30PM EDT,Saturday,Portland,POR,,Sporting KC,SKC,
3-Oct-2015,10:30PM EDT,Saturday,San Jose,SJ,,Vancouver,VAN,
4-Oct-2015,5:00PM EDT,Sunday,FC Dallas,FCD,,Houston,HOU,
4-Oct-2015,9:30PM EDT,Sunday,Seattle,SEA,,LA Galaxy,LA,
7-Oct-2015,TBD,Wednesday,Vancouver,VAN,,FC Dallas,FCD,
10-Oct-2015,9:00PM EDT,Saturday,Colorado,COL,,Montreal,MON,
14-Oct-2015,TBD,Wednesday,Toronto FC,TOR,,NY Red Bulls,NYRB,
14-Oct-2015,9:00PM EDT,Wednesday,FC Dallas,FCD,,Vancouver,VAN,
14-Oct-2015,9:30PM EDT,Wednesday,Real Salt Lake,RSL,,Portland,POR,
16-Oct-2015,7:00PM EDT,Friday,Orlando,ORL,,New York City,NYC,
16-Oct-2015,11:00PM EDT,Friday,San Jose,SJ,,Sporting KC,SKC,
17-Oct-2015,TBD,Saturday,Toronto FC,TOR,,Columbus,CLB,
17-Oct-2015,7:30PM EDT,Saturday,New England,NE,,Montreal,MON,
17-Oct-2015,9:30PM EDT,Saturday,Real Salt Lake,RSL,,FC Dallas,FCD,
18-Oct-2015,TBD,Sunday,NY Red Bulls,NYRB,,Philadelphia,PHI,
18-Oct-2015,TBD,Sunday,D.C. United,DC,,Chicago,CHI,
18-Oct-2015,TBD,Sunday,Houston,HOU,,Seattle,SEA,
18-Oct-2015,TBD,Sunday,LA Galaxy,LA,,Portland,POR,
25-Oct-2015,5:00PM EDT,Sunday,Columbus,CLB,,D.C. United,DC,
25-Oct-2015,5:00PM EDT,Sunday,Montreal,MON,,Toronto FC,TOR,
25-Oct-2015,5:00PM EDT,Sunday,New York City,NYC,,New England,NE,
25-Oct-2015,5:00PM EDT,Sunday,Philadelphia,PHI,,Orlando,ORL,
25-Oct-2015,5:00PM EDT,Sunday,Chicago,CHI,,NY Red Bulls,NYRB,
25-Oct-2015,7:00PM EDT,Sunday,FC Dallas,FCD,,San Jose,SJ,
25-Oct-2015,7:00PM EDT,Sunday,Portland,POR,,Colorado,COL,
25-Oct-2015,7:00PM EDT,Sunday,Sporting KC,SKC,,LA Galaxy,LA,
25-Oct-2015,7:00PM EDT,Sunday,Seattle,SEA,,Real Salt Lake,RSL,
25-Oct-2015,7:00PM EDT,Sunday,Vancouver,VAN,,Houston,HOU,
