Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,PKG/A,SC%,SOG%
Michael Enfield,LA,M-F,6,2,247,1,0,4,2,0/0,25.0,50.0
Mubarike Chisoni,LA,M,11,1,304,0,0,4,2,0/0,0.0,50.0
Adolfo Gregorio,RSL,M,6,4,359,0,0,4,2,0/0,0.0,50.0
Michael Umaña,LA,D,15,6,754,0,0,4,2,0/0,0.0,50.0
Danny O'Rourke,SJ,D,13,12,1049,0,0,4,2,0/0,0.0,50.0
Steve Jolley,DAL,D,13,12,1057,0,0,4,2,0/0,0.0,50.0
Wade Barrett,SJ,D,30,30,2664,1,2,4,2,0/0,25.0,50.0
Ryan Latham,NE,F,6,1,155,0,0,3,2,0/0,0.0,66.7
Nana Kuffour,DC,F,3,2,180,1,0,3,1,0/0,33.3,33.3
Julian Nash,SJ,F,10,1,228,1,1,3,3,0/0,33.3,100.0
Brian Roberts,KC,D,11,3,337,0,1,3,0,0/0,0.0,0.0
Chris Aloisi,SJ,D,6,5,494,0,0,3,1,0/0,0.0,33.3
Esteban Arias,CHV,D,15,14,1141,1,0,3,2,0/0,33.3,66.7
Rusty Pierce,RSL,D,15,15,1200,0,1,3,1,0/0,0.0,33.3
Ryan Suarez,CHV,D,19,16,1309,1,0,3,1,0/0,33.3,33.3
Tim Regan,MET,D,20,18,1641,0,0,3,1,0/0,0.0,33.3
Nelson Akwari,RSL,D,23,21,1887,0,0,3,1,0/0,0.0,33.3
Shavar Thomas,KC,D,25,24,2011,0,0,3,0,0/0,0.0,0.0
Brandon Prideaux,DC,D,29,28,2455,0,0,3,2,0/0,0.0,66.7
Jermaine Hue,KC,M,3,1,55,0,0,2,0,0/0,0.0,0.0
Antti Sumiala,KC,F,2,2,116,0,1,2,1,0/0,0.0,50.0
Evan Whitfield,RSL,D,5,0,133,0,0,2,1,0/0,0.0,50.0
Will John,CHI,M-F,6,2,199,0,1,2,0,0/0,0.0,0.0
Ian Russell,SJ,D,13,2,234,0,0,2,1,0/0,0.0,50.0
Leighton O'Brien,RSL,M,6,1,234,0,0,2,1,0/0,0.0,50.0
Seth Stammler,MET,M-D,10,3,358,0,1,2,2,0/0,0.0,100.0
Scott Buete,CHI,M,8,4,364,0,0,2,1,0/0,0.0,50.0
John Thorrington,CHI,M,8,4,368,1,0,2,1,0/0,50.0,50.0
David Stokes,DC,D,10,3,388,0,1,2,1,0/0,0.0,50.0
Dan Gargan,COL,D,12,5,511,0,2,2,0,0/0,0.0,0.0
Ryan Cochrane,SJ,D,14,6,775,0,0,2,0,0/0,0.0,0.0
Troy Roberts,LA,D,14,9,822,0,0,2,0,0/0,0.0,0.0
Mark Schulte,CLB,D,19,18,1540,0,1,2,0,0/0,0.0,0.0
C.J. Brown,CHI,D,20,18,1657,0,2,2,0,0/0,0.0,0.0
Armando Begines,CHV,D,22,18,1658,0,0,2,1,0/0,0.0,50.0
Logan Pause,CHI,M,27,24,2093,0,2,2,1,0/0,0.0,50.0
Diego Serna,COL,F,1,0,13,0,0,1,1,0/0,0.0,100.0
Matt Nickell,DC,F,4,0,30,0,0,1,1,0/0,0.0,100.0
Gilberto Flores,MET,M,3,0,37,0,0,1,0,0/0,0.0,0.0
Justin Detter,KC,F,4,0,40,0,0,1,0,0/0,0.0,0.0
