Player,Club,POS,GP,GS,A,GWA,HmA,RdA,A/90min
Mike Petke,COL,D,24.0,24.0,0.0,0.0,0.0,0.0,0.0
Shavar Thomas,CHV,D,23.0,23.0,0.0,0.0,0.0,0.0,0.0
Greg Vanney,COL,D,24.0,23.0,0.0,0.0,0.0,0.0,0.0
Ryan Cochrane,HOU,D,25.0,25.0,0.0,0.0,0.0,0.0,0.0
Ty Harden,LA,D,24.0,24.0,0.0,0.0,0.0,0.0,0.0
Bryan Namoff,DC,D,24.0,24.0,0.0,0.0,0.0,0.0,0.0
James Riley,NE,D,27.0,22.0,0.0,0.0,0.0,0.0,0.0
Tyrone Marshall,LA,D,24.0,24.0,0.0,0.0,0.0,0.0,0.0
Jimmy Conrad,KC,D,25.0,25.0,0.0,0.0,0.0,0.0,0.0
Michael Parkhurst,ATL,D,25.0,25.0,0.0,0.0,0.0,0.0,0.0
Todd Dunivant,NY,D,25.0,25.0,0.0,0.0,0.0,0.0,0.0
Eddie Pope,RSL,D,27.0,27.0,0.0,0.0,0.0,0.0,0.0
Jim Brennan,TOR,D,27.0,27.0,0.0,0.0,0.0,0.0,0.0
Jay Heaps,NE,D,28.0,28.0,0.0,0.0,0.0,0.0,0.0
Drew Moor,TOR,D,28.0,28.0,0.0,0.0,0.0,0.0,0.0
C.J. Brown,CHI,D,29.0,29.0,0.0,0.0,0.0,0.0,0.0
Stephen Wondolowski,nan,D,nan,nan,nan,nan,nan,nan,0.0
Stats Unavailable,nan,nan,nan,nan,nan,nan,nan,nan,nan
